sample_id,latency_ms
166,148.45681190490723
167,156.07976913452148
168,157.7451229095459
169,133.49175453186035
170,134.16004180908203
171,139.5101547241211
172,149.8579978942871
173,162.31799125671387
174,140.14720916748047
175,136.38854026794434
176,133.5732936859131
177,131.0293674468994
178,144.72031593322754
179,140.0437355041504
180,134.31239128112793
181,132.5206756591797
182,136.08956336975098
183,133.35847854614258
184,131.52337074279785
185,129.77099418640137
186,132.551908493042
187,136.6560459136963
188,138.02838325500488
189,131.38151168823242
190,129.51993942260742
191,127.5322437286377
192,129.0431022644043
193,128.76176834106445
194,128.53026390075684
195,134.69672203063965
196,129.3625831604004
197,126.43027305603027
198,129.21857833862305
199,127.32243537902832
200,128.2951831817627
201,127.7017593383789
202,132.1849822998047
203,129.8816204071045
204,129.58121299743652
205,144.32668685913086
206,139.35256004333496
207,129.27722930908203
208,127.70891189575195
209,129.1027069091797
210,129.31108474731445
211,132.50374794006348
212,128.60965728759766
213,130.4314136505127
214,128.9534568786621
215,130.63788414001465
216,139.12415504455566
217,135.5884075164795
218,139.07408714294434
219,132.0481300354004
220,127.92491912841797
221,132.6451301574707
222,136.39545440673828
223,129.96864318847656
224,131.9897174835205
225,131.34455680847168
226,132.79247283935547
227,132.05385208129883
228,129.5177936553955
229,132.51662254333496
230,130.82122802734375
231,131.51216506958008
232,130.51462173461914
233,130.04660606384277
234,132.51471519470215
235,130.51652908325195
236,130.0680637359619
237,151.98874473571777
238,136.54255867004395
239,131.04510307312012
240,131.53457641601562
241,140.08760452270508
242,133.62479209899902
243,132.42077827453613
244,133.52203369140625
245,133.58187675476074
246,131.52170181274414
247,132.51447677612305
248,128.5698413848877
249,130.53321838378906
250,134.51194763183594
251,132.05385208129883
252,130.5406093597412
253,130.13887405395508
254,130.50317764282227
255,129.53567504882812
256,131.50310516357422
257,130.53059577941895
258,127.5935173034668
259,130.50317764282227
260,130.22375106811523
261,130.68199157714844
262,128.9219856262207
263,129.53948974609375
264,134.0622901916504
265,131.5286159515381
266,129.6858787536621
267,132.11345672607422
268,133.32796096801758
269,132.52878189086914
270,131.39748573303223
271,144.74081993103027
272,152.58336067199707
273,135.91766357421875
274,139.26196098327637
275,156.08453750610352
276,154.5088291168213
277,158.93292427062988
278,142.24004745483398
279,138.44823837280273
280,137.50171661376953
281,140.5329704284668
282,142.52328872680664
283,148.97704124450684
284,137.85171508789062
285,138.51261138916016
286,145.0345516204834
287,152.80938148498535
288,137.52460479736328
289,143.07475090026855
290,136.519193649292
291,140.0432586669922
292,137.53318786621094
293,148.20241928100586
294,143.50652694702148
295,136.5358829498291
296,141.07108116149902
297,146.5301513671875
298,143.19419860839844
299,139.30654525756836
300,159.24072265625
301,136.53206825256348
302,137.5441551208496
303,139.0378475189209
304,141.6478157043457
305,144.06085014343262
306,146.53897285461426
307,138.54336738586426
308,139.04809951782227
309,141.7555809020996
310,133.0728530883789
311,135.53357124328613
312,131.67262077331543
313,133.0878734588623
314,131.08110427856445
315,134.73153114318848
316,132.3721408843994
317,133.69011878967285
318,133.53228569030762
319,133.08382034301758
320,133.30459594726562
321,135.54048538208008
322,135.63990592956543
323,132.52973556518555
324,133.54182243347168
325,135.05983352661133
