Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
203,1744141970503,4056,4056,4056,4056,4056,4056,4056,4056,94.5623550415039,97.28105163574219,97.43726348876953,101.52333068847656,95.80504608154297,100.51001739501953,99.02484893798828,99.2073745727539,96.2916488647461,100.14055633544922,100.9044418334961,94.98236083984375,100.4169921875,101.33075714111328,45,40,45,33.333335876464844,95,95,95,90.47618865966797,41.254249572753906,17179869184,4294967296,13658423296,3458465792
202,1744141970706,4056,4056,4056,4056,4056,4056,4056,4056,94.5623550415039,97.28105163574219,97.43726348876953,101.52333068847656,95.80504608154297,100.51001739501953,99.02484893798828,99.2073745727539,96.2916488647461,100.14055633544922,100.9044418334961,94.98236083984375,100.4169921875,101.33075714111328,21.052631378173828,11.111111640930176,10,5.263157844543457,100,100,95,100,41.254249572753906,17179869184,4294967296,13721927680,3549036544
204,1744141970909,4056,4056,4056,4056,4056,4056,4056,4056,97.66968536376953,100.53202056884766,100.5989990234375,106.09090423583984,99.0381088256836,104.60430908203125,102.4974365234375,102.9240493774414,99.57737731933594,103.72473907470703,104.83180236816406,98.18470001220703,103.98441314697266,105.06846618652344,50,38.095237731933594,26.3157901763916,38.095237731933594,90.90909576416016,90.47618865966797,95,95,41.254249572753906,17179869184,4294967296,13684457472,3682336768
200,1744141971114,4056,4056,4056,4056,4056,4056,4056,4056,97.66968536376953,100.53202056884766,100.5989990234375,106.09090423583984,99.0381088256836,104.60430908203125,102.4974365234375,102.9240493774414,99.57737731933594,103.72473907470703,104.83180236816406,98.18470001220703,103.98441314697266,105.06846618652344,30.000001907348633,28.571430206298828,28.571430206298828,14.285715103149414,95,95,95,95,41.254249572753906,17179869184,4294967296,13675593728,3832020992
204,1744141971314,4056,4056,4056,4056,4056,4056,4056,4056,97.66968536376953,100.53202056884766,100.5989990234375,106.09090423583984,99.0381088256836,104.60430908203125,102.4974365234375,102.9240493774414,99.57737731933594,103.72473907470703,104.83180236816406,98.18470001220703,103.98441314697266,105.06846618652344,21.052631378173828,15.789472579956055,10.526315689086914,5.263157844543457,100,100,95,95,41.254249572753906,17179869184,4294967296,13722812416,3926786048
200,1744141971519,4056,4056,4056,4056,4056,4056,4056,4056,97.66968536376953,100.53202056884766,100.5989990234375,106.09090423583984,99.0381088256836,104.60430908203125,102.4974365234375,102.9240493774414,99.57737731933594,103.72473907470703,104.83180236816406,98.18470001220703,103.98441314697266,105.06846618652344,42.85714340209961,31.57894515991211,28.571430206298828,28.571430206298828,95.23809814453125,95,95.23809814453125,95.45454406738281,38.246334075927734,17179869184,5368709120,13662945280,4109959168
204,1744141971720,4056,4056,4056,4056,4056,4056,4056,4056,97.66968536376953,100.53202056884766,100.5989990234375,106.09090423583984,99.0381088256836,104.60430908203125,102.4974365234375,102.9240493774414,99.57737731933594,103.72473907470703,104.83180236816406,98.18470001220703,103.98441314697266,105.06846618652344,10.526315689086914,10,5,0,100,100,100,100,38.246334075927734,17179869184,5368709120,13689356288,4113694720
204,1744141971925,4056,4056,4056,4056,4056,4056,4056,4056,98.80320739746094,101.78861236572266,101.71373748779297,107.04167175292969,100.11131286621094,105.63356018066406,103.51875305175781,103.89009094238281,100.58049011230469,104.96192932128906,106.06318664550781,99.40221405029297,105.0716323852539,106.14274597167969,40,30.000001907348633,25,26.3157901763916,95,95.23809814453125,95,95,38.246334075927734,17179869184,5368709120,13685932032,4268228608
204,1744141972130,4056,4056,4056,4056,4056,4056,4056,4056,98.80320739746094,101.78861236572266,101.71373748779297,107.04167175292969,100.11131286621094,105.63356018066406,103.51875305175781,103.89009094238281,100.58049011230469,104.96192932128906,106.06318664550781,99.40221405029297,105.0716323852539,106.14274597167969,25,23.809524536132813,19.047618865966797,18.18181800842285,100,100,100,95,38.246334075927734,17179869184,5368709120,13712670720,4391567360
200,1744141972334,4056,4056,4056,4056,4056,4056,4056,4056,98.80320739746094,101.78861236572266,101.71373748779297,107.04167175292969,100.11131286621094,105.63356018066406,103.51875305175781,103.89009094238281,100.58049011230469,104.96192932128906,106.06318664550781,99.40221405029297,105.0716323852539,106.14274597167969,30.000001907348633,25,25,15.789472579956055,90.47618865966797,95.23809814453125,95,95.23809814453125,38.06507110595703,17179869184,5368709120,13688930304,4528865280
